DATE,DTB3
2024/11/1,4.41
2024/10/31,4.44
2024/10/30,4.47
2024/10/29,4.49
2024/10/28,4.49
2024/10/25,4.52
2024/10/24,4.5
2024/10/23,4.52
2024/10/22,4.51
2024/10/21,4.51
2024/10/18,4.53
2024/10/17,4.54
2024/10/16,4.51
2024/10/15,4.52
2024/10/11,4.53
2024/10/10,4.54
2024/10/9,4.54
2024/10/8,4.53
2024/10/7,4.55
2024/10/4,4.53
2024/10/3,4.48
2024/10/2,4.48
2024/10/1,4.5
2024/9/30,4.52
2024/9/27,4.5
2024/9/26,4.5
2024/9/25,4.51
2024/9/24,4.5
2024/9/23,4.53
2024/9/20,4.56
2024/9/19,4.61
2024/9/18,4.65
2024/9/17,4.75
2024/9/16,4.75
2024/9/13,4.78
2024/9/12,4.85
2024/9/11,4.89
2024/9/10,4.85
2024/9/9,4.89
2024/9/6,4.93
2024/9/5,4.94
2024/9/4,4.96
2024/9/3,4.97
2024/8/30,4.98
2024/8/29,4.98
2024/8/28,4.96
2024/8/27,4.98
2024/8/26,4.98
2024/8/23,5.01
2024/8/22,5.04
2024/8/21,5.02
2024/8/20,5.04
2024/8/19,5.06
2024/8/16,5.08
2024/8/15,5.09
2024/8/14,5.07
2024/8/13,5.06
2024/8/12,5.07
2024/8/9,5.09
2024/8/8,5.09
2024/8/7,5.09
2024/8/6,5.09
2024/8/5,5.09
2024/8/2,5.05
2024/8/1,5.12
2024/7/31,5.15
2024/7/30,5.14
2024/7/29,5.15
2024/7/26,5.16
2024/7/25,5.17
2024/7/24,5.18
2024/7/23,5.18
2024/7/22,5.19
2024/7/19,5.2
2024/7/18,5.21
2024/7/17,5.2
2024/7/16,5.2
2024/7/15,5.2
2024/7/12,5.21
2024/7/11,5.21
2024/7/10,5.23
2024/7/9,5.23
2024/7/8,5.23
2024/7/5,5.23
2024/7/3,5.24
2024/7/2,5.24
2024/7/1,5.24
2024/6/28,5.22
2024/6/27,5.23
2024/6/26,5.24
2024/6/25,5.23
2024/6/24,5.24
2024/6/21,5.23
2024/6/20,5.24
2024/6/18,5.24
2024/6/17,5.25
2024/6/14,5.25
2024/6/13,5.25
2024/6/12,5.25
2024/6/11,5.25
2024/6/10,5.25
2024/6/7,5.26
2024/6/6,5.25
2024/6/5,5.25
2024/6/4,5.25
2024/6/3,5.26
2024/5/31,5.25
2024/5/30,5.26
2024/5/29,5.26
2024/5/28,5.26
2024/5/24,5.26
2024/5/23,5.26
2024/5/22,5.25
2024/5/21,5.25
2024/5/20,5.25
2024/5/17,5.25
2024/5/16,5.25
2024/5/15,5.25
2024/5/14,5.24
2024/5/13,5.25
2024/5/10,5.26
2024/5/9,5.25
2024/5/8,5.25
2024/5/7,5.25
2024/5/6,5.25
2024/5/3,5.25
2024/5/2,5.25
2024/5/1,5.26
2024/4/30,5.25
2024/4/29,5.25
2024/4/26,5.25
2024/4/25,5.26
2024/4/24,5.26
2024/4/23,5.25
2024/4/22,5.22
2024/4/19,5.25
2024/4/18,5.25
2024/4/17,5.25
2024/4/16,5.25
2024/4/15,5.25
2024/4/12,5.25
2024/4/11,5.25
2024/4/10,5.25
2024/4/9,5.23
2024/4/8,5.23
2024/4/5,5.23
2024/4/4,5.21
2024/4/3,5.22
2024/4/2,5.22
2024/4/1,5.23
2024/3/28,5.23
2024/3/27,5.22
2024/3/26,5.22
2024/3/25,5.23
2024/3/22,5.24
2024/3/21,5.25
2024/3/20,5.24
2024/3/19,5.24
2024/3/18,5.25
2024/3/15,5.25
2024/3/14,5.25
2024/3/13,5.25
2024/3/12,5.25
2024/3/11,5.24
2024/3/8,5.24
2024/3/7,5.24
2024/3/6,5.24
2024/3/5,5.23
2024/3/4,5.24
2024/3/1,5.23
2024/2/29,5.25
2024/2/28,5.24
2024/2/27,5.25
2024/2/26,5.26
2024/2/23,5.26
2024/2/22,5.25
2024/2/21,5.24
2024/2/20,5.24
2024/2/16,5.24
2024/2/15,5.23
2024/2/14,5.23
2024/2/13,5.25
2024/2/12,5.23
2024/2/9,5.24
2024/2/8,5.23
2024/2/7,5.23
2024/2/6,5.23
2024/2/5,5.22
2024/2/2,5.23
2024/2/1,5.22
2024/1/31,5.22
2024/1/30,5.21
2024/1/29,5.22
2024/1/26,5.21
2024/1/25,5.21
2024/1/24,5.21
2024/1/23,5.21
2024/1/22,5.22
2024/1/19,5.22
2024/1/18,5.22
2024/1/17,5.24
2024/1/16,5.22
2024/1/12,5.22
2024/1/11,5.23
2024/1/10,5.23
2024/1/9,5.24
2024/1/8,5.25
2024/1/5,5.24
2024/1/4,5.24
2024/1/3,5.24
2024/1/2,5.22
2023/12/29,5.2
2023/12/28,5.25
2023/12/27,5.24
2023/12/26,5.25
2023/12/22,5.24
2023/12/21,5.22
2023/12/20,5.24
2023/12/19,5.23
2023/12/18,5.26
2023/12/15,5.24
2023/12/14,5.23
2023/12/13,5.24
2023/12/12,5.26
2023/12/11,5.26
2023/12/8,5.24
2023/12/7,5.24
2023/12/6,5.25
2023/12/5,5.25
2023/12/4,5.26
2023/12/1,5.23
2023/11/30,5.25
2023/11/29,5.25
2023/11/28,5.27
2023/11/27,5.28
2023/11/24,5.28
2023/11/22,5.27
2023/11/21,5.26
2023/11/20,5.27
2023/11/17,5.25
2023/11/16,5.25
2023/11/15,5.26
2023/11/14,5.26
2023/11/13,5.28
2023/11/10,5.26
2023/11/9,5.27
2023/11/8,5.28
2023/11/7,5.28
2023/11/6,5.29
2023/11/3,5.27
2023/11/2,5.28
2023/11/1,5.31
